,Hotel_name,Price_before_Discount,Price_after_Discount,Tax_and_Charges,Type_of_Room,Type_of_Beds,Rating,Review,No_of_Reviews,Rooms_left,Cancellation
416,Diamond Inn by Mystic Hospitality,"₹ 1,800","₹ 1,620",+₹ 194 taxes and charges,Deluxe Double Room,1 double bed,2.6,Review score ,8 reviews,Only 7 rooms left at this price on our site,
417,Treebo Trip KES Residency Rajaji nagar,"₹ 3,206","₹ 1,603",+₹ 192 taxes and charges,[Sanitized] Standard Double or Twin Room,Multiple bed types,7.0,Good ,203 reviews,,Free cancellation
418,OYO 10522 Varcity Emerald,"₹ 2,166","₹ 1,083",+₹ 175 taxes and charges,Budget Double Room,1 large double bed,3.5,Review score ,25 reviews,,Free cancellation
419,MySpace Hotels Silverstar,"₹ 4,400","₹ 3,168",+₹ 380 taxes and charges,classic,Beds: 1 double or 2 singles,7.8,Good ,144 reviews,,FREE cancellation • No prepayment needed
420,Treebo Trend Sai Arra Bangalore Airport Hotel,"₹ 3,775","₹ 1,887",+₹ 226 taxes and charges,Standard Double Room,1 double bed,8.0,Very good ,11 reviews,,Free cancellation
421,GAVISHREERESIDENCY,,"₹ 2,600",+₹ 312 taxes and charges,Deluxe Double Room,1 large double bed,8.0,Very good ,9 reviews,,FREE cancellation • No prepayment needed
422,Capital O 86761 Felix Inn,"₹ 3,123","₹ 1,562",+₹ 217 taxes and charges,Standard Double Room,1 large double bed,,,,,FREE cancellation • No prepayment needed
423,Al Noor Palace Business Class Hotel,,"₹ 4,050",+₹ 486 taxes and charges,Deluxe Double Room,1 extra-large double bed,8.7,Fabulous ,67 reviews,Only 5 rooms left at this price on our site,
424,hotelpearlinn,,"₹ 1,594",+₹ 191 taxes and charges,Deluxe Double or Twin Room,2 single beds,4.7,Review score ,27 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
425,Collection O 5898 Checkin Regency,"₹ 2,639","₹ 1,320",+₹ 188 taxes and charges,Classic Triple Room,1 large double bed,5.4,Review score ,12 reviews,,Free cancellation
426,Treebo Trip Akshaya Mayflower Vijaya Bank Layout,"₹ 3,647","₹ 1,823",+₹ 219 taxes and charges,[Sanitized] Standard Double Room,1 extra-large double bed,7.3,Good ,106 reviews,Only 7 rooms left at this price on our site,Free cancellation
427,Capital O 70991 Prime Square,"₹ 2,845","₹ 1,422",+₹ 201 taxes and charges,Standard Double Room,1 large double bed,5.7,Review score ,15 reviews,,Free cancellation
428,Empark,"₹ 2,600","₹ 1,300",+₹ 156 taxes and charges,Economy Double Room,1 double bed,6.5,Review score ,37 reviews,Only 2 rooms left at this price on our site,Free cancellation
429,Treebo Trend The Chevron Brigade,"₹ 4,141","₹ 2,071",+₹ 244 taxes and charges,Standard Double Room,1 single bed,5.1,Review score ,41 reviews,,Free cancellation
430,FabHotel Mayuri Residency,"₹ 5,000","₹ 2,700",+₹ 354 taxes and charges,Deluxe Room,1 double bed,7.0,Good ,67 reviews,,Free cancellation
431,Diamond Inn by Mystic Hospitality,"₹ 1,800","₹ 1,620",+₹ 194 taxes and charges,Deluxe Double Room,1 double bed,2.6,Review score ,8 reviews,Only 7 rooms left at this price on our site,
432,Treebo Trip KES Residency Rajaji nagar,"₹ 3,206","₹ 1,603",+₹ 192 taxes and charges,[Sanitized] Standard Double or Twin Room,Multiple bed types,7.0,Good ,203 reviews,,Free cancellation
433,OYO 10522 Varcity Emerald,"₹ 2,166","₹ 1,083",+₹ 175 taxes and charges,Budget Double Room,1 large double bed,3.5,Review score ,25 reviews,,Free cancellation
434,MySpace Hotels Silverstar,"₹ 4,400","₹ 3,168",+₹ 380 taxes and charges,classic,Beds: 1 double or 2 singles,7.8,Good ,144 reviews,,FREE cancellation • No prepayment needed
435,Treebo Trend Sai Arra Bangalore Airport Hotel,"₹ 3,775","₹ 1,887",+₹ 226 taxes and charges,Standard Double Room,1 double bed,8.0,Very good ,11 reviews,,Free cancellation
436,GAVISHREERESIDENCY,,"₹ 2,600",+₹ 312 taxes and charges,Deluxe Double Room,1 large double bed,8.0,Very good ,9 reviews,,FREE cancellation • No prepayment needed
437,Capital O 86761 Felix Inn,"₹ 3,123","₹ 1,562",+₹ 217 taxes and charges,Standard Double Room,1 large double bed,,,,,FREE cancellation • No prepayment needed
438,Al Noor Palace Business Class Hotel,,"₹ 4,050",+₹ 486 taxes and charges,Deluxe Double Room,1 extra-large double bed,8.7,Fabulous ,67 reviews,Only 5 rooms left at this price on our site,
439,hotelpearlinn,,"₹ 1,594",+₹ 191 taxes and charges,Deluxe Double or Twin Room,2 single beds,4.7,Review score ,27 reviews,Only 4 rooms left at this price on our site,FREE cancellation • No prepayment needed
440,Hotel U.T.ELITE,,"₹ 1,530",+₹ 184 taxes and charges,Double Room,1 extra-large double bed,5.8,Review score ,18 reviews,,
441,SRI VIJAYA PALACE LODGING,,₹ 600,Includes taxes and charges,Deluxe Double Room,1 double bed,7.2,Good ,114 reviews,,FREE cancellation • No prepayment needed
442,Collection O 77217 Amazing Inn,"₹ 3,593","₹ 1,796",+₹ 246 taxes and charges,Standard Double Room,1 extra-large double bed,5.0,Review score ,31 reviews,,FREE cancellation • No prepayment needed
443,Icon Regency by Bhagini,,"₹ 3,149",+₹ 378 taxes and charges,Deluxe Studio,Private studio • 21m²1 single bed,7.7,Good ,119 reviews,,
444,OYO 10527 Corner Golf View,"₹ 3,575","₹ 1,788",+₹ 244 taxes and charges,Classic Triple Room,1 large double bed,3.4,Review score ,14 reviews,,Free cancellation
445,The Corporate Comforts,,"₹ 1,500",+₹ 180 taxes and charges,Standard Double Room with Fan,1 double bed,5.0,Review score ,41 reviews,Only 7 rooms left at this price on our site,FREE cancellation • No prepayment needed
446,Collection O 90053 IVORY Elite,"₹ 3,343","₹ 1,671",+₹ 246 taxes and charges,Standard Triple Room,1 large double bed,,,,,FREE cancellation • No prepayment needed
447,Hotel Raj Residence,,₹ 777,Includes taxes and charges,Deluxe Double Room with Bath,1 double bed,8.0,Very good ,2 reviews,Only 5 rooms left at this price on our site,FREE cancellation • No prepayment needed
448,La Sara Pride Formerly Known as Nandhana Pride,,"₹ 3,330",+₹ 400 taxes and charges,Standard Double or Twin Room,"3 beds (2 singles, 1 double)",6.3,Review score ,16 reviews,Only 3 rooms left at this price on our site,Free cancellation
449,Siri Delight,,"₹ 1,679",+₹ 202 taxes and charges,Queen Room,1 large double bed,7.5,Good ,13 reviews,,FREE cancellation • No prepayment needed
450,Icon Business Hotel by Bhagini,,"₹ 4,999",+₹ 600 taxes and charges,Studio Room,Private studio • 1 bathroom • 20m²Beds: 1 double or 2 singles,7.0,Good ,135 reviews,,Free cancellation
451,OYO Flagship 29620 New Champion Residency,"₹ 2,798","₹ 1,819",+₹ 248 taxes and charges,Classic Triple Room,2 large double beds,5.3,Review score ,14 reviews,,Free cancellation
